呵	口可kk
𡭢	小木xm
𢈕	广丿gp
𢛞	忄卑xb
𣧙	歹手du
𤁣	氵罷db
𤙅	牛布nb
𤽹	白卑bb
𥬝	竹白vb
𦣺	.zu
𦩋	舟非vf
𦳞	艹拜cb
𨃅	足拜zb
𩋂	革非gf
𩎻	韋非wf
𩏞	韋累wl
𩑢	頁不yb｜不頁by
辦	力辛lx｜辛辛xx
闆	門品mp
粄	米反mf
跘	足半zb
絆	糸半sb
頒	頁分yf
肦	月分of
舨	舟反vf
蝂	虫版ib
搫	手般ub
怑	忄半xb
朌	月分of
姅	女半nb
鳻	鳥分nf
鈑	金反jf
鉡	金半jb
㚘	夫夫ff
㩯	扌繁ff
㪵	斗半db
㸞	片片pp
䉽	米半mb
䕰	艹燔cf
䬳	飠半ub
坢	土半tb
岅	山反uf
斒	文扁wb
瓪	瓦反wf
秚	禾半hb
螁	虫退it
螌	虫般ib
褩	衣般yb
辬	.wx｜.xx
魬	魚反yf
𠔯	.bp｜八夫bf
𠚼	.df
𠦒	.uy｜.ay
𠧫	卜夂bw
𠯘	口反kf
𠺚	口班kb
𡯘	.wf｜尤反yf
𢲔	扌班fb
𢴬	扌斑fb
𣪂	殳丹ud
𤡰	犭斑qb
𤦦	玢王bw
𤫫	瓜分gf｜分瓜fg
𤳖	番去fq
𥷁	竹辦vb
𥹓	米去mq
𦎊	.ym｜羊八yb
𦙹	月乂oi
𦝤	月並ob
𧇥	虎林hl
𧌿	版虫bi
𧿨	足反zf
𨐦	辛風xf
𨐱	辛辛xx
𨐾	辛辛xx
𩔮	頁班yb｜班頁by
𩢔	馬半mb
𩭧	髟卑ib
𩿉	鳥分nf
𪄕	班鳥bn｜鳥班nb
𪒋	黑般hb
旁	亠方wf｜立方lf
彭	彡豆pd｜士彡up
幫	帛封bf｜巾封jf
髈	骨旁gp
綁	糸邦sb
棓	木口mk｜木咅mp
牓	片旁pp
蜯	虫奉if
艕	舟旁vp
蚄	虫方if
鎊	金旁jp
㔙	力并lb
㭋	木丰mf
㮄	.mp
㯁	木陪mp
㾦	.bp
䂜	石丰uf
䎧	.lp
䖫	虫干ig
䟺	足貝zb
䧛	阝旁ep
䰷	魚丰yf
垹	土邦tb
幇	巾封jf
幚	邦帛bb｜.jb
挷	扌邦fb
捠	扌兵fb
硥	.ul｜石尨um
稖	禾口hk｜.hp
縍	糸旁sp
蛖	虫尨il｜虫尨im
謗	言旁yp
邫	.fb｜丰邑fy
鞤	革封gf
𠨵	厂丰if
𠬣	.yy
𡽲	山榜ub
𢁏	.jg
𢄎	巾旁jp
𢜗	心奉xf
𢪋	扌丰ff
𢮏	.up
𢶶	扌意fy
𢸌	扌帛fb
𣘙	木部mb
𣮡	毛奔mb
𣮧	毛並mb｜並毛bm
𤚰	牛旁np
𤱵	火田ht｜田二te
𥀂	皮封pf｜封皮fp
𦰥	艹邦cb
𦾭	.cb
𨢐	酉旁yp
𩋮	革封gf
𩍗	.gm｜革方gf
𩦠	馬剽mp
𩮗	.ib
報	卩幸ex｜土又ty｜幸又xy
寶	宀貝bb
寳	宀貝bb
飽	食包ub
铇	金包jb
剝	刂录dl
勹	.gb｜.pg
骲	骨包gb
媬	女保nb
襃	亠{衣}wy｜衣呆yd
鉋	金包jb
駂	馬十mu
鑤	金暴jb
寚	宀缶bf
怉	忄包xb
犦	牛暴nb
虣	虎武hw
裦	亠{衣}wy｜衣矛ym
鴇	鳥十nu
㙅	土呆td
㙸	土僕tp
㫧	日米om
㲏	毛片mp
㲒	毛句mj
㵡	氵雹db
㻄	.wd
㿺	皮暴pb
䈏	竹田vt
䎂	羽包yb
䤖	酉暴yb
䥤	金雹jb
䨌	雨元yy
䨔	雨光yg
䪨	音勺yu
䭋	飠保ub
䳈	鳥包nb
䳰	鳥保nb
䴐	鳥寶nb
佨	亻包rb
儤	亻暴rb
勽	勹人gr
嚗	口暴kb
堢	土保tb
宲	宀呆bd
忁	彳氺xu
曓	.ob
犳	犭勺qu
珤	王缶wf
窇	穴包xb｜.bb
笣	竹包vb
緥	糸保sb
菢	艹抱cb
蕔	艹報cb
藵	艹衣cy
蚫	虫包ib
袌	亠{衣}wy｜衣包yb
賲	保貝bb
闁	門門mm
靌	雨貝yb
飹	飠卯um
髱	髟包ib
鮑	魚包yb
鳵	鳥十nu｜.nx
齙	齒包ib
𠅬	.ww
𠣒	勹仁gr
𠣺	勹巳gs｜冫包db
𠤏	匕十bu
𠹕	口豹kb
𡂟	.cb｜品包pb｜口包kb
𡉩	土犬tq
𡧖	宀八bb
𡶄	山包ub
𢼌	.wb｜攴包pb｜包攴bp
𣋳	.ob｜日灬oh
𣭀	毛包mb
𤔣	爫叟vs
𤝧	.qv
𤞥	犭呆qd
𤿈	皮勺pu
𥄹	目包ob
𥭓	𥫗灼vv
𦡕	月雹ob
𦢊	月暴ob
𧘑	衤勺yu
𧝘	衤裒yp｜.yy
𧭤	言暴yb
𧵢	貝包bb
𨇅	足暴zb
𨚔	.eb｜包阝be
𨠖	酉包yb
𨰦	金貝jb
𨰻	.pp｜金金jj
𩊅	革卯gm
𩍂	革陶gt
𩛞	食孚uf
𩬽	镸木im
𩭼	髟保ib
𩾡	鳥勺nu
𩿓	鳥牛nn
𪏶	黍包ub
勃	力孛lb｜力子lz
輩	車非if｜非車fi
貝	丨丶ad｜目八ob
備	亻用ry
盃	不皿bm｜皿不mb
庳	广卑gb
苝	艹北cb
鞞	革卑gb
杮	木巿mf｜木巾mj
揹	扌背fb
柸	木丕mp
軰	車北ib
骳	骨皮gp
桮	木否mf
鉳	金北jb
俻	亻备rb
偹	.rb
諀	言卑yb
箄	𥫗卑vb
鋇	金貝jb
㓈	冫石du
㔨	勹背gb
㛝	女貝nb
㣁	弓用gy
㤳	忄否xf
㰆	.ma
㶔	.db
㷶	備灬bh
㸢	片用py
㸬	.nu
㸽	牛貝nb
㻗	.yf
㼎	瓜交gj
㽡	田卑tb
㾱	.bf
䁅	目孟om
䋳	糸背sb
䔒	艹陪cp
䠙	足旁zp
䡶	.ib
䩀	非貝fb
䰽	.yu
偝	亻背rb
僃	亻用ry
愂	心勃xb
憊	心備xb
昁	.of｜.oj
梖	木貝mb
棑	木非mf
牬	.nz
犕	牛用ny
狽	犭貝qb
珼	王貝wb
禙	示背ub
藣	艹罷cb｜艹能cn
蛽	虫貝ib
誖	言孛yb｜言子yz
郥	耳貝eb
鄁	耳背eb
鵯	鳥卑nb
𠋭	亻口rk
𠐡	亻輩rb
𠢥	力費lf｜費力fl
𡋭	土冖tb｜北土bt
𡥞	子冖zb
𡰯	尸巾uj
𢂏	.uu｜十冂uk
𢃍	巾卑jb
𢴾	扌悲fb
𢻵	.wu｜十攴up｜攴冂pk
𣎵	.ir｜凵人kr｜屮人cr
𣖾	木用my
𣝁	木卑mb
𣬍	比苗bm｜苗比mb
𣬪	.mu｜毛冂mk｜十毛um
𤜲	.qu｜犬冂qk｜十犬uq
𤰈	用勹yg
𤳦	.ld｜田大td
𤵛	疒丕bp
𤷁	疒土bt
𤷒	疒卑bb
𤹲	.bg
𤿒	皮内pn
𤿾	皮卑pb｜卑皮bp
𥏓	.ug｜矢廾uc
𥶓	𥫗罷vb
𦈧	缶不fb
𦈶	缶否ff
𦩖	舟卑vb
𦮷	艹貝cb
𦾙	艹十cu
𧉥	虫北ib｜北虫bi
𧋲	.wb｜亠虫wi｜虫北ib
𧶙	北負bf
𧼠	走卑zb
𨚍	.eb｜比阝be
𩇩	非大fd｜大非df
𩔹	.yp｜頁卑yb｜卑頁by
𩖠	風女fn
𩚾	食北ub｜北食bu
夲	大十du
漰	氵崩db
喯	口奔kb
炃	火分hf
坋	土分tf
奙	.sd｜厶奄sy
泍	氵本db
渀	氵奔db
錛	金奔jb
㡷	.gb
㤓	忄本xb
㨧	扌畚fb
㮺	.bl
㱵	.dp
䬱	食本ub
捹	扌奔fb
撪	.ff｜扌車fi
桳	木十mu
楍	木口mk
翉	羽本yb
蟦	虫賁ib
賁	貝卉bh
逩	辶奔zb
𡗢	.dk
𡗲	大斤dj
𣄏	方畚fb
𣳰	氵十du
𣴞	氵坌db
𥢊	.hp｜禾賁hb
𦯀	艹坌cb
𨋒	車弁ib
𩣺	馬奔mb
𩰶	鬲亥gh
𪊜	鹿本lb
𪎝	麻本mb
𪑖	黑奔hb
繃	糸崩sb
嗙	口旁kp
綳	糸朋sp
菶	艹奉cf
琣	王口wk｜王咅wp
堋	土朋tp
伻	亻平rp
塴	土崩tb
埄	土丰tf
揼	扌泵fb
甮	勿用wy
鏰	金崩jb
㑟	亻兵rb
㱶	歹彭dp
㷯	火奉hf
䋽	糸封sf
䙀	衤朋yp
䨻	雷雷ll
䩬	革奉gf
䭰	香奉xf
䳞	鳥奉nf
埲	土奉tf
奟	大朋dp
嵭	山旁up
痭	疒朋bp
絣	糸并sb
跰	足并zb
逬	辶并zb
閍	門方mf
鞛	革口gk｜.gp
𠜳	.dp
𠡮	.lp
𡎾	土朋tp
𡡈	女崩nb
𡶤	.yu
𡾛	山并ub
𢆸	幺幺yy
𢉁	广朋gp
𢏳	弓并gb
𢐒	弓崩gb
𣂤	.jp｜斤月jo｜月斤oj
𣨥	歹朋dp
𤙾	牛并nb
𤡭	犭彭qp
𤫬	瓜丰gf
𥖗	吉石ju｜石殳uu
𥛱	示彭up
𥞩	禾并hb
𥦜	穴朋xp
𦂌	糸封sf
𦅈	糸彭sp
𦝷	月屏op
𦺑	艹毛cm
𧑑	.ib｜虫奉if
𧚭	衤并yb
𧩱	言屏yp
𧻓	走并zb
𨆊	足鼓zg｜鼓足gz
𨓁	辶幺zy
𨕧	.zj
𨹹	阝朋ep
𨻱	阝崩eb
𩂦	雨并yb
𩊌	革立gl
𩑚	頁丰yf｜丰頁fy
𩗴	風奉ff
𪔑	鼓石gu
筆	𥫗聿vy
拂	扌弗ff
畢	丨丨aa
祕	示必ub
幣	巾敝jb｜巾攵jw
閟	門必mb
柲	木必mb
肶	月比ob
偪	亻畐rf｜亻田rt
閉	門才mc
禆	示卑ub
饆	食畢ub
啚	口回kh
皀	白匕bb
鷩	鳥敝nb｜.nw
斃	死敝sb｜死攵sw
睥	月卑ob
闬	门干mg
弻	弓弓gg
毴	毛非mf
痺	疒卑bb
箆	𥫗比vb
腷	.of｜月田ot
彃	弓畢gb
鉍	金必jb
煏	.hf｜火田ht
怭	忄必xb
柀	木皮mp
湢	.df｜氵田dt
獘	犬敝qb｜.qw
髲	髟皮ip｜皮髟pb
愊	心畐xf｜心田xt
楅	木畐mf｜木田mt
滭	氵畢db
粃	米比mb
纰	纟比sb
嗶	口畢kb
夶	大大dd
奰	大罒ds｜罒大sd
梐	.mt
畐	一田at
疕	疒匕bb
疪	疒比bb
繴	糸辟sb｜糸辛sx
聛	耳卑eb
蜌	虫坒ib｜虫土it
貏	豸卑vb
蹕	足畢zb
鶝	.nf｜鳥田nt
堛	土畐tf｜土田tt
妼	女必nb
潷	氵筆db
熚	火畢hb
綼	糸卑sb
鎞	金比jb
鏎	金畢jb
鐴	.jb｜.jx
飶	食必ub
㓖	冫畢db
㗉	.qg
㗊	吕吕ll
㘠	.wb
㘩	土比tb
㙄	土坒tb
㚕	大弗df
㚰	女丕np
㠲	巾匕jb
㡀	.dd
㡙	.jp
㢰	弓皮gp
㢶	弓百gb
㢸	弓攵gw
㧙	扌必fb
㪏	.wb
㪤	.wb
㮰	.mp
㮿	木畢mb
㯇	.mf
㱸	.db
㳼	水或uh
㵥	氵皿dm
㵨	.ub
㹃	牛非nf
㻫	王畢wb
㻶	王筆wb
㿫	皮比pb
䀣	目必ob
䁹	.ob
䃾	示比ub
䄶	禾弗hf
䇷	𥫗别vb
䉾	米北mb
䊧	米費mf
䋔	糸丕sp
䌟	.sb
䎵	耳必eb
䏢	月皮op
䏶	月坒ob
䕗	艹鼻cb
䖩	虫必ib
䘡	衣比yb
䟆	走畢zb
䟤	足必zb
䠋	足卑zb
䣥	酉匕yb
䦘	門艮mg
䧗	耳复ef
䨆	隹敝vb
䩛	革必gb
䪐	韋必wb
䫁	頁自yz
䫾	風必fb
䬛	風畢fb
䭮	.ub
䮡	馬复mf
䯗	骨坒gb
䵄	.ml
佊	亻皮rp
娝	女否nf
嬶	女鼻nb
崥	山卑ub
幤	巾敞ji｜.jw
廦	.gb｜.gx
怶	忄皮xp
旇	方皮fp
朇	會卑hb
朼	木匕mb
榌	木飛mf
毞	毛比mb
獙	犭敝qb｜.qw
畁	由丌yq
睤	目畀ob｜.oq
稫	.hf｜禾田ht
笓	𥫗比vb
篳	竹畢vb
粊	米比mb
紕	糸比sb
紴	糸皮sp
縪	糸畢sb
罼	罒畢sb
翍	羽皮yp
胇	月弗of
萞	艹比cb
蓽	艹畢cb
螕	虫比ib
袐	衤必yb
襅	衤畢yb
襣	衤鼻yb
詖	言皮yp
豍	豆卑db
貱	貝皮bp
贔	貝貝bb
躃	.zb｜.zx
躄	足辟zb｜足辛zx
鄨	.bk｜邑敝yb｜.yw
鄪	耳費ef
閇	門下mx
閈	門干mg
鞸	革畢gb
韠	韋畢wb
駜	馬必mb
驆	馬畢mb
魓	鬼畢gb
鮅	魚必yb
鰏	魚畐yf｜魚田yt
鵖	鳥艮ng
鷝	鳥畢nb
鼊	.mb｜.mx｜.zh
𠈺	亻坒rb
𠋯	亻舀ry
𠓷	入爽ru
𠛡	.db
𠡂	力弗lf
𠦈	十井uj｜井十ju
𠧅	咼卑gb
𠨘	卩必eb｜必卩be
𠩿	厂畢ib
𠬈	去卑qb
𠮃	.yb
𠽩	口筆kb
𡚁	敝大bd
𡛗	女比nb
𡠚	女畢nb
𡳄	.ub｜尸回uh
𡻞	山畢ub
𡽶	山鼻ub
𢁽	巾必jb
𢅩	巾罷jb
𢍁	由廾yc
𢐦	.gb｜弓辟gp｜辟弓pg
𢖬	心匕xb｜.xh
𢘍	心弗xf｜弗心fx
𢞗	.xp｜心比xb
𢟵	.xf
𢡅	心棐xf
𢩒	户肥hf
𢲾	扌閉fb
𢳋	扌庳fb
𢴩	扌筆fb
𣁉	文必wb｜必文bw
𣁢	文敝wb｜敝文bw
𣋹	日弊ob
𣔓	木彼mb
𣕾	林必lb
𣘥	木閉mb
𣚡	木棐mf
𣝍	.mp｜木寸mc
𣢠	欠必qb｜必欠bq
𣥣	止皮vp
𣦇	止复vf
𣦢	.vb
𣩩	.db
𣮐	毛卑mb
𣯴	毛畢mb
𣴨	.db｜氵目do
𤂀	滿天mt
𤅹	氵大dd
𤐙	.hb
𤗚	.pf｜片田pt
𤙞	牛坒nb
𤜻	犭比qb
𤝸	犭米qm
𤠺	犭畢qb
𤡝	.qf
𤢣	.qb
𤵘	疒必bb
𤹝	疒畢bb
𤹦	.bb｜疒回bh
𤻖	疒鼻bb
𤽊	白比bb
𥆯	目坒ob
𥈗	目頁oy
𥏠	矢卑ub
𥛘	示畢ub
𥟗	.hb
𥢦	禾灬hh
𥳆	竹敝vb
𥴬	竹辟vp
𦀘	糸坒sb
𦂖	糸廾sc
𦑞	.yf｜羽田yt
𦔆	.lf｜耒田lt
𦠞	敝月bo｜月敝ob
𦤫	自鼻zb
𦭼	.cb｜艹又cy
𦯛	艹廾cc
𦰙	.bc｜艹廾cc
𦱔	.cp
𦳈	.cb｜艹毗cp
𦸣	艹庳cb
𧏻	虫畢ib
𧒀	虫敝ib
𧓄	.ib
𧓎	.bk
𧝬	衣敝yb｜敝衣by
𧤃	角畀jb
𧥑	或角hj｜角或jh
𧫤	言畢yb
𧲜	.bx｜辟象px
𧳠	豸畀vb
𧼱	走复zf
𨅗	足筆zb
𨋥	車弗if
𨋩	車伏if
𨐨	.bj｜辟井pj
𨚓	.ef｜弗阝fe
𨟵	酉比yb
𨠔	酉必yb
𨲋	镸卑ib
𨳲	門卞mb
𨵰	門下mx
𨸼	阝必eb
𨻀	.ep
𨻼	.ef｜阝土et
𩉫	革比gb
𩊰	革坒gb
𩏂	韋卑wb
𩑻	頁白yb｜白頁by
𩣚	馬否mf
𩪖	骨畢gb
𩪧	.gb｜骨辟gp
𩯃	髟費if
𩲢	鬼皮gp
𩾳	.ng
𪋜	鹿畢lb
𪌄	麥巳ms
𪍪	麥畢mb
𪏺	黍必ub
𪐄	黍卑ub
變	攵糸ws｜言攵yw
変	夊亦wy｜亦夊yw
編	糸扁sb
辺	辶刀zd
釆	丿米pm｜丿丶pd
邊	辶方zf
籓	𥫗潘vp
徧	彳扁xb
貶	貝乏bf
窆	穴乏xf｜宀乏bf
辯	言辛yx｜辛辛xx
閞	門弁mb｜門廾mc
邉	辶口zk
艑	舟扁vb
甂	瓦扁wb
缏	纟便sb
辮	糸辛sx｜辛辛xx
鶣	鳥扁nb
鍽	金扁jb
汳	氵反df
